Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_Tower1_0.3\P234_BAS_Tower1_0.3_Pick Place\P234_0.3_Tower1_PickAndPlace_Metric.csv

========================================================================================================================
File Design Information:

Date:       11/05/22
Time:       17:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description","ManfactPart","RefVal"
"CO302","TopLayer","125.0000","75.0000","270","USB4070-30-C","USB4070-30-C","USB4070"
"CO301","TopLayer","108.0000","75.0000","270","USB4070-30-C","USB4070-30-C","USB4070"
"CO1","TopLayer","250.0750","75.0000","90","USB C connector","USB4500-03-1-A","USB-C"
"C233","TopLayer","155.8000","80.3000","45","4pF 50V 0.25pF C0H","UMK105CH040CVHF","4pF"
"C232","TopLayer","153.0000","83.1000","45","4pF 50V 0.25pF C0H","UMK105CH040CVHF","4pF"
"C231","TopLayer","146.3250","69.6750","45","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C229","TopLayer","145.5250","70.4750","45","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C227","TopLayer","143.9000","72.3000","45","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C226","TopLayer","143.1000","73.1000","45","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C225","TopLayer","142.0000","78.5000","0","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C224","TopLayer","142.0000","79.4000","0","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C223","TopLayer","145.3000","82.3250","0","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C222","TopLayer","145.3000","83.2250","0","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C221","BottomLayer","155.2127","80.2127","45","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C220","BottomLayer","156.8250","69.9500","315","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C219","BottomLayer","155.8750","69.0500","315","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C218","BottomLayer","145.2500","68.5250","225","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C217","BottomLayer","144.3250","69.3750","225","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C216","BottomLayer","142.6750","71.0750","225","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C215","BottomLayer","143.7250","79.5750","135","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C214","BottomLayer","144.6250","80.4750","135","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C213","BottomLayer","146.2750","82.2000","135","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C212","BottomLayer","150.0000","65.0000","270","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C211","BottomLayer","154.3750","81.0000","45","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C210","BottomLayer","153.4750","81.9000","45","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C209","BottomLayer","157.0000","71.3750","315","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C208","BottomLayer","154.5000","68.7750","315","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C207","BottomLayer","146.5250","68.2250","225","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C206","BottomLayer","144.0000","70.7250","225","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C205","BottomLayer","143.2000","78.3750","135","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C204","BottomLayer","145.9500","80.7750","135","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C203","BottomLayer","150.0000","84.0000","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C111","TopLayer","119.8000","63.0000","0","100nF 16V 10% X7R","GCM155R71C104KA55D","100nF"
"C110","TopLayer","119.8000","67.6000","0","100nF 16V 10% X7R","GCM155R71C104KA55D","100nF"
"C107","TopLayer","159.0000","96.5000","90","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C106","TopLayer","157.5000","96.5000","90","10µF 16V 20% X5R","GRM188R61C106MAALD","10µF"
"C105","TopLayer","155.0000","97.5000","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C102","TopLayer","74.3001","72.6000","0","10µF 16V 20% X5R","GRM188R61C106MAALD","10µF"
"C101","TopLayer","72.6001","76.1000","270","10µF 16V 20% X5R","GRM188R61C106MAALD","10µF"
"C33","TopLayer","136.7000","90.5000","90","1.2nF 50V 10% X7R","GCM155R71H122KA37D","1.2nF"
"C32","TopLayer","135.2000","91.0000","0","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C24","TopLayer","134.6000","85.9000","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C23","TopLayer","130.8006","81.9001","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C22","TopLayer","133.4006","81.9001","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C21","TopLayer","136.1006","85.0000","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C20","TopLayer","138.0000","85.0000","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C19","TopLayer","140.0000","85.0000","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C18","TopLayer","142.0000","85.0000","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C17","TopLayer","139.9000","90.5000","270","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C16","TopLayer","141.8000","96.8000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C15","TopLayer","138.0000","96.8000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C14","TopLayer","139.9000","96.8000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C13","TopLayer","136.1000","96.8000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C9","TopLayer","127.8000","85.9000","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C8","TopLayer","232.8000","87.0000","270","10pF 50V 5% C0G","CC0402JRNPO9BN100","10pF"
"C7","TopLayer","233.8000","87.0000","270","4.7µF 16V 10% X5R","C1608X5R1C475K080AC","4.7µF"
"C6","TopLayer","235.0000","87.0000","270","4.7µF 16V 10% X5R","C1608X5R1C475K080AC","4.7µF"
"C5","TopLayer","239.8000","88.3000","270","1µF 100V 15% X7R","GRM32ER72A105KA01","1µF"
"C4","TopLayer","242.7000","88.3000","270","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"C3","TopLayer","237.0000","86.8000","270","1µF 100V 15% X7R","GRM32ER72A105KA01","1µF"
"C2","TopLayer","232.2000","94.4000","90","1µF 100V 15% X7R","GRM32ER72A105KA01","1µF"
"C1","TopLayer","238.1000","92.7000","0","1µF 100V 15% X7R","GRM32ER72A105KA01","1µF"
"C39","TopLayer","223.0000","65.7500","0","22µF 10V 20% X5R","0805ZD226MAT2A","22µF"
"C38","TopLayer","221.0000","55.7500","180","22µF 10V 20% X5R","0805ZD226MAT2A","22µF"
"R10","TopLayer","101.7000","66.8250","180","100KO 1% 100mW","RC0603FR-07100KL","100KO"
"R9","TopLayer","97.4000","69.4250","0","2.94KO 1% 100mW 100PPM","CRCW06032K94FKEA","2.94KO"
"R7","TopLayer","101.0000","71.6250","90","31.2KO 0.5% 62.5mW 25PPM","RN731ETTP3122D25","31.2KO"
"L4","TopLayer","207.1500","63.2500","90","12µH 1.3A 20% 135mO","ASPI-4030S-120M-T","12µH 1.3A"
"L1","TopLayer","91.0000","71.9250","90","3.3µH 5A 30% 21mO","SRN6045TA-3R3Y","3.3µH 5A"
"IC4","TopLayer","206.6500","75.2500","90","Non-Isolated DC/DC Converters 3.3V 500MA","R-78E3.3-0.5","R-78E3.3-0.5"
"IC3","TopLayer","94.8000","64.2250","0","DC-DC Switching Synchronous Buck Regulator, Adjustable, 3.8V-40Vin, 0.8V-40V/3.5A out","AP64351QSP-13","AP64351QSP-13"
"C42","TopLayer","205.2000","82.3000","0","22µF 10V 20% X5R","0805ZD226MAT2A","22µF"
"C41","TopLayer","205.1500","67.2500","180","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C40","TopLayer","203.1500","63.2500","90","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C35","TopLayer","99.4000","70.2250","90","3.3nF 50V 10% X7R","CC0603KRX7R9BB332","3.3nF"
"C34","TopLayer","95.4000","70.2250","90","47pF 50V 5% C0G","CC0603JRNPO9BN470","47pF"
"C31","TopLayer","98.2000","62.3250","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C30","TopLayer","93.1472","59.1235","180","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C29","TopLayer","96.7517","58.0722","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C28","TopLayer","99.3768","58.0722","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C27","TopLayer","102.0269","58.0722","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C26","TopLayer","104.6770","58.0722","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C25","TopLayer","107.3022","58.0722","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C12","TopLayer","98.6000","73.7250","270","22µF 10V 20% X5R","0805ZD226MAT2A","22µF"
"C11","TopLayer","96.8000","73.7250","270","22µF 10V 20% X5R","0805ZD226MAT2A","22µF"
"C10","TopLayer","91.2000","64.2250","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"L3","TopLayer","221.0000","60.7500","90","10µH 3.2A 30% 52mO","SRN6045TA-100M","10µH 3.2A"
"IC5","TopLayer","226.0000","58.7500","270","NON-ISOLATED DC SWITCHING REGULATOR","VXO7803-500","VXO7803-500"
"C37","TopLayer","228.0000","65.7500","180","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"C36","TopLayer","241.0000","63.0000","270","680µF 50V 20%","UPW1H681MHD6","680µF"
"C228","TopLayer","154.6000","69.3000","135","180nF 10V 10% X5R","GRM155R61A184KE19D","180nF"
"IC201","TopLayer","150.0000","75.0000","135","USB-interface IC PCI-e USB3.0 Host Ctrl 3rd Gen","UPD720201K8-701-BAC-A","UPD720201"
"H4","TopLayer","250.5000","56.5000","0","Mounting Hole M3","","Hole M3"
"H3","TopLayer","63.5000","96.5000","0","Mounting Hole M3","","Hole M3"
"H2","TopLayer","63.5000","53.5000","0","Mounting Hole M3","","Hole M3"
"H1","TopLayer","206.5000","56.5000","0","Mounting Hole M3","","Hole M3"
"Fid4","TopLayer","202.0000","54.0000","0","Fiducial Sqaure 1mm","","Fiducial"
"Fid3","TopLayer","216.0000","96.0000","0","Fiducial Sqaure 1mm","","Fiducial"
"Fid2","TopLayer","61.0000","99.0000","0","Fiducial Round 1mm","","Fiducial"
"Fid1","TopLayer","253.0000","54.0000","0","Fiducial Round 1mm","","Fiducial"
"SW101","TopLayer","138.7000","52.5000","180","Miniature Slide Switch","OS102011MS2QN1","SPDT On-On"
"MO104","TopLayer","144.0000","91.5000","180","RPI CM4 Mounting Studs","9774030151R","CM4-M"
"MO103","TopLayer","144.0000","58.5000","180","RPI CM4 Mounting Studs","9774030151R","CM4-M"
"MO107","TopLayer","0.0000","0.0000","0","Outline of CM4","RPI CM4","CM4"
"MO101","TopLayer","166.0000","92.0000","0","RPI CM4 Pin 1-100","DF40HC(3.0)-100DS-0.4V","CM4-1"
"MO102","TopLayer","166.0000","58.0000","0","RPI CM4 Pin 101-200","DF40HC(3.0)-100DS-0.4V","CM4-2"
"MO105","TopLayer","192.0000","91.5000","180","RPI CM4 Mounting Studs","9774030151R","CM4-M"
"MO106","TopLayer","192.0000","58.5000","180","RPI CM4 Mounting Studs","9774030151R","CM4-M"
"Logo GTS1","BottomLayer","0.0000","0.0000","180","Logo GTS 1","","GTS"
"Logo FxLand1","TopLayer","0.0000","0.0000","90","Logo FxLand 2","","FxLand"
"CO102","TopLayer","88.0000","54.1750","0","USB C connector","USB4500-03-1-A","USB-C"
"CO101","TopLayer","74.0140","61.7580","0","µSD-Card holder","693071030811","µSD-Card"
"CO103","TopLayer","123.0000","56.6500","0","HDMI","10029449","HDMI"
