Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_MainHub_0.2\P234_BAS_MainHub_0.2_Pick Place\P234_0.2_MainHub_PickAndPlace_Imperial.csv

========================================================================================================================
File Design Information:

Date:       30/05/22
Time:       21:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description","ManfactPart","RefVal"
"R15","TopLayer","13799.213","4783.465","90","3.74KO 1% 62.5mW 100PPM","CRCW04023K74FKEDC","3.74K"
"R14","TopLayer","13877.953","4803.150","180","12.5KO 1% 62.5mW 100PPM","0402WGF1252TCE","12.5KO"
"R13","TopLayer","13641.732","4635.827","90","100O 1% 100mW","WR06X1000FTL","100O"
"R12","TopLayer","13986.220","3976.378","180","22.1KO 1% 100mW 100PPM","RC0603FR-0722K1L","22.1KO"
"R11","TopLayer","13799.213","3956.693","90","5.62KO 1% 62.5mW 100PPM","CRCW04025K62FKEDC","5.62K"
"R10","TopLayer","13877.953","3976.378","180","27.4KO 1% 62.5mW 100PPM","AC0402FR-0727K4L","27.4KO"
"R9","TopLayer","13641.732","3809.055","90","100O 1% 100mW","WR06X1000FTL","100O"
"R8","TopLayer","14970.472","3976.378","180","22.1KO 1% 100mW 100PPM","RC0603FR-0722K1L","22.1KO"
"R7","TopLayer","14783.465","3956.693","90","10.5KO 1% 62.5mW 100PPM","CRCW040210K5FKEDC","10.5K"
"R6","TopLayer","14862.205","3976.378","180","69.8KO 1% 100mW 100PPM","CRCW060369K8FKEB","69.8KO"
"R5","TopLayer","14625.984","3809.055","90","100O 1% 100mW","WR06X1000FTL","100O"
"L5","TopLayer","13622.047","4881.890","90","1.5µH 7A 30% 11.7mO","SRN6045TA-1R5Y","1.5µH 7A"
"L4","TopLayer","13622.047","4055.118","90","2.2µH 6A 30% 15mO","SRN6045TA-2R2Y","2.2µH 6A"
"L3","TopLayer","14606.299","4055.118","90","3.3µH 5A 30% 21mO","SRN6045TA-3R3Y","3.3µH 5A"
"IC5","TopLayer","13779.528","4566.929","0","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"IC4","TopLayer","13779.528","3740.157","0","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"IC3","TopLayer","14763.780","3740.157","0","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"C65","TopLayer","13769.685","4783.465","270","2.7nF 50V 5% X7R","GRM155R71H272JA01D","2.7nF"
"C64","TopLayer","13779.528","4724.409","180","150pF 16V 5% C0G","C0402C151J4GACTU","150pF"
"C63","TopLayer","13907.480","4488.189","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C62","TopLayer","13740.158","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C61","TopLayer","13818.898","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C60","TopLayer","13671.260","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C59","TopLayer","13602.362","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C58","TopLayer","13533.465","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C57","TopLayer","13464.567","4350.394","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C56","TopLayer","13877.953","4763.779","0","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C55","TopLayer","14005.906","4921.260","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C54","TopLayer","13937.008","4921.260","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C53","TopLayer","13868.110","4921.260","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C52","TopLayer","13799.213","4921.260","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C51","TopLayer","13641.732","4498.031","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C50","TopLayer","13769.685","3956.693","270","2.7nF 50V 5% X7R","GRM155R71H272JA01D","2.7nF"
"C49","TopLayer","13779.528","3897.638","180","100pF 16V 10% X7R","GRM022R71C101KE14L","100pF"
"C48","TopLayer","13907.480","3661.417","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C47","TopLayer","13740.157","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C46","TopLayer","13825.040","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C45","TopLayer","13671.260","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C44","TopLayer","13602.362","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C43","TopLayer","13533.465","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C42","TopLayer","13464.567","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C41","TopLayer","13877.953","3937.008","0","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C40","TopLayer","14005.906","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C39","TopLayer","13937.008","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C38","TopLayer","13868.110","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C37","TopLayer","13799.213","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C36","TopLayer","13641.732","3671.260","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C35","TopLayer","14753.937","3956.693","270","2.7nF 50V 5% X7R","GRM155R71H272JA01D","2.7nF"
"C34","TopLayer","14763.780","3897.638","180","56pF 16V 10% X7R","GRM022R71C560KE14L","56pF"
"C33","TopLayer","14891.732","3661.417","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C32","TopLayer","14724.409","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C31","TopLayer","14803.150","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C30","TopLayer","14655.512","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C29","TopLayer","14586.614","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C28","TopLayer","14517.717","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C27","TopLayer","14448.819","3523.622","270","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C26","TopLayer","14862.205","3937.008","0","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C25","TopLayer","14852.362","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C24","TopLayer","14921.260","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C23","TopLayer","14990.157","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C22","TopLayer","14783.465","4094.488","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C21","TopLayer","14625.984","3671.260","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"R4","TopLayer","6599.971","4586.614","270","2.2KO 1% 62.5mW 100PPM","CRGCQ0402F2K2","2.2KO"
"R3","TopLayer","6539.931","4651.575","0","20KO 1% 100mW 100PPM","ERJ-S02F2002X","20KO"
"R2","TopLayer","6599.971","4507.874","270","12KO 1% 62.5mW","RC0402FR-1312KL","12KO"
"R1","TopLayer","6795.837","4759.842","270","100O 1% 100mW","WR06X1000FTL","100O"
"IC1","TopLayer","6648.199","4818.898","180","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"C20","TopLayer","6539.931","4608.268","0","1.2nF 50V 10% X7R","GCM155R71H122KA37D","1.2nF"
"C19","TopLayer","6622.609","4651.575","0","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C18","TopLayer","6518.278","4895.669","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C17","TopLayer","6624.016","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C16","TopLayer","6692.913","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C15","TopLayer","6761.811","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C14","TopLayer","6830.709","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C13","TopLayer","6899.606","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C12","TopLayer","6968.504","5029.528","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C6","TopLayer","6564.538","4507.874","90","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C5","TopLayer","6456.693","4192.913","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C4","TopLayer","6456.693","4261.811","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C3","TopLayer","6456.693","4330.709","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C2","TopLayer","6456.693","4399.606","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C1","TopLayer","6795.837","4877.953","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"R501","TopLayer","5988.000","3976.378","90","2.2KO 5% 62.5mW","MCMR04X222 JTL","2.2KO"
"R502","TopLayer","6087.598","3976.378","90","2.2KO 5% 62.5mW","MCMR04X222 JTL","2.2KO"
"MO502","TopLayer","6377.953","4685.039","0","RPI ZeroW Mounting Studs","9774030151R","ZeroW-M"
"MO501","TopLayer","5238.543","3780.000","180","RPI ZeroW Header 1-40","9900002236265","ZeroW-1"
"MO503","TopLayer","6377.953","3779.528","0","RPI ZeroW Mounting Studs","9774030151R","ZeroW-M"
"MO505","TopLayer","4094.488","4685.039","0","RPI ZeroW Mounting Studs","9774030151R","ZeroW-M"
"MO506","TopLayer","0.000","0.000","180","Outline of ZeroW","RPI Zero W","ZeroW"
"MO504","TopLayer","4094.488","3779.528","0","RPI ZeroW Mounting Studs","9774030151R","ZeroW-M"
"C503","TopLayer","6220.472","3523.622","0","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C501","TopLayer","6751.969","4192.913","0","330µF 16V 20% 16mO 4100mA","16SVPG330MX","330µF"
"C506","TopLayer","6062.992","3600.392","180","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C505","TopLayer","6220.472","3602.362","0","1µF 16V 10% X5R","C1608X5R1C105K080AA","1µF"
"C502","TopLayer","6751.969","3799.212","0","330µF 16V 20% 16mO 4100mA","16SVPG330MX","330µF"
"C504","TopLayer","6062.992","3523.622","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"L2","TopLayer","12421.260","3543.307","0","2.2µH 6A 30% 15mO","SRN6045TA-2R2Y","2.2µH 6A"
"IC2","TopLayer","12460.630","3956.693","180","DC-DC 36Vin-12Vout/3A","RPMB12-3.0","RPMB12-3.0"
"C11","TopLayer","12145.669","3838.583","90","10µF 25V 10% X5R","CL31A106KAHNNNE","10µF"
"C10","TopLayer","12637.795","3562.992","270","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"C9","TopLayer","12204.724","3484.252","270","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"C8","TopLayer","12086.614","3484.252","270","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"C7","TopLayer","11968.504","3484.252","270","10µF 63V 10% X7R","GRM32ER71J106KA12","10µF"
"IC301","TopLayer","7401.575","8543.307","180","USB Interface, USB Hub Controller, USB 3.0","USB5534B-5000ZX","USB5534B"
"CO354","TopLayer","8070.866","9685.039","180","USB C connector Receptacle","USB4070-30-C","USB4070"
"CO353","TopLayer","8070.866","9094.488","180","USB C connector Receptacle","USB4070-30-C","USB4070"
"CO352","TopLayer","8070.866","10866.142","180","USB C connector Receptacle","USB4070-30-C","USB4070"
"CO351","TopLayer","8070.866","10275.591","180","USB C connector Receptacle","USB4070-30-C","USB4070"
"D116","TopLayer","8838.583","5708.661","0","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D115","BottomLayer","8622.047","5708.661","180","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D114","TopLayer","7933.071","5708.661","0","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D113","BottomLayer","7283.465","5708.661","180","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D112","TopLayer","8405.512","5708.661","0","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D111","BottomLayer","8188.976","5708.661","180","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D110","BottomLayer","7716.535","5708.661","180","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D109","TopLayer","7500.000","5708.661","0","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D108","BottomLayer","8602.362","4173.228","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D107","BottomLayer","8602.362","4763.779","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D106","BottomLayer","7696.850","4173.228","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D105","BottomLayer","7263.779","4763.779","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D104","BottomLayer","8169.291","4173.228","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D103","BottomLayer","8169.291","4763.779","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D102","BottomLayer","7696.850","4763.779","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D101","BottomLayer","7263.779","4173.228","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"IC107","TopLayer","8405.512","5511.811","0","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC105","BottomLayer","8188.976","5511.811","180","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC102","BottomLayer","7283.465","5511.811","180","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC108","TopLayer","8838.583","5511.811","0","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC104","TopLayer","7933.071","5511.811","0","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC103","BottomLayer","7716.535","5511.811","180","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC106","BottomLayer","8622.047","5511.811","180","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC101","TopLayer","7500.000","5511.811","0","TUSB542 USB Type-C 5 Gbps Redriver 2:1 MUX","TUSB542","TUSB542"
"IC401","BottomLayer","8011.809","8070.866","90","USB Interface, USB Hub Controller, USB 3.0","USB5534B-5000ZX","USB5534B"
"IC231","TopLayer","8464.567","7086.614","45","USB Interface, USB Hub Controller, USB 3.0","USB5534B-5000ZX","USB5534B"
"IC201","TopLayer","7559.055","7086.614","45","USB Interface, USB Hub Controller, USB 3.0","USB5534B-5000ZX","USB5534B"
"CO105","BottomLayer","8307.087","4763.779","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO107","BottomLayer","8307.087","4173.228","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO101","BottomLayer","7401.575","4173.228","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO104","BottomLayer","7834.646","4173.228","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO106","BottomLayer","8740.157","4763.779","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO103","BottomLayer","7834.646","4763.779","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO108","BottomLayer","8740.157","4173.228","270","USB C connector Plug","USB4151-GF-C","USB4151"
"CO102","BottomLayer","7401.575","4763.779","270","USB C connector Plug","USB4151-GF-C","USB4151"
